FIPS	relig	civic	bus	pol	prof	labor	bowl	fitns	golf	sport	pop	respn	nccs	assn	pvote
1063	8	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	8553	1.052262364	0.42	48	0.692726566
1065	8	N/A	N/A	N/A	N/A	N/A	N/A	1	1	N/A	15131	0.660894852	0.55	64	0.672865925
1067	24	N/A	2	N/A	N/A	N/A	N/A	N/A	1	N/A	17176	1.571960876	0.59	50	0.707277715
1069	100	11	4	1	1	5	2	7	4	N/A	104110	1.296705408	0.73	377	0.639892701
1071	40	1	1	N/A	N/A	4	N/A	N/A	2	N/A	52631	0.912010032	0.74	126	0.573350007
1073	714	56	30	12	16	49	3	70	20	N/A	660368	1.468877959	0.74	3576	0.698921745
1075	11	N/A	N/A	N/A	N/A	1	N/A	N/A	1	N/A	14050	0.925266904	0.8	35	0.656541629
1077	110	5	5	N/A	1	5	1	9	2	N/A	93063	1.482866445	0.73	852	0.664572977
1079	43	N/A	1	N/A	N/A	2	N/A	2	N/A	N/A	33426	1.436007898	0.76	71	0.601888879
1081	100	12	6	N/A	3	3	1	8	4	N/A	154426	0.887156308	0.72	521	0.559501442
1083	70	3	2	N/A	N/A	1	N/A	6	1	N/A	90612	0.915993467	0.77	166	0.710316984
1085	6	N/A	N/A	N/A	N/A	N/A	N/A	1	N/A	N/A	10555	0.6631928	0.47	45	0.703741815
1087	15	N/A	N/A	N/A	N/A	1	N/A	N/A	N/A	N/A	19387	0.825295301	0.66	139	0.536623135
1089	267	21	10	2	7	12	4	49	10	4	350112	1.102504341	0.76	1369	0.664682387
1091	31	1	1	N/A	N/A	3	N/A	1	2	N/A	20136	1.936829559	0.63	92	0.711827824
1093	29	N/A	N/A	N/A	N/A	2	N/A	2	1	N/A	30246	1.124115586	0.74	92	0.61521684
1095	74	2	5	N/A	N/A	2	1	4	2	N/A	94356	0.953834414	0.74	240	0.645827563
1097	363	37	10	N/A	4	32	2	30	5	N/A	414926	1.16406299	0.72	1918	0.631196549
